Date,Month,Month Number,Quarter,Year,ISO Week Number
2016-01-01,January,1,Q1,2016,53
2016-01-02,January,1,Q1,2016,53
2016-01-03,January,1,Q1,2016,53
2016-01-04,January,1,Q1,2016,1
2016-01-05,January,1,Q1,2016,1
2016-01-06,January,1,Q1,2016,1
2016-01-07,January,1,Q1,2016,1
2016-01-08,January,1,Q1,2016,1
2016-01-09,January,1,Q1,2016,1
2016-01-10,January,1,Q1,2016,1
2016-01-11,January,1,Q1,2016,2
2016-01-12,January,1,Q1,2016,2
2016-01-13,January,1,Q1,2016,2
2016-01-14,January,1,Q1,2016,2
2016-01-15,January,1,Q1,2016,2
2016-01-16,January,1,Q1,2016,2
2016-01-17,January,1,Q1,2016,2
2016-01-18,January,1,Q1,2016,3
2016-01-19,January,1,Q1,2016,3
2016-01-20,January,1,Q1,2016,3
2016-01-21,January,1,Q1,2016,3
2016-01-22,January,1,Q1,2016,3
2016-01-23,January,1,Q1,2016,3
2016-01-24,January,1,Q1,2016,3
2016-01-25,January,1,Q1,2016,4
2016-01-26,January,1,Q1,2016,4
2016-01-27,January,1,Q1,2016,4
2016-01-28,January,1,Q1,2016,4
2016-01-29,January,1,Q1,2016,4
2016-01-30,January,1,Q1,2016,4
2016-01-31,January,1,Q1,2016,4
2016-02-01,February,2,Q1,2016,5
2016-02-02,February,2,Q1,2016,5
2016-02-03,February,2,Q1,2016,5
2016-02-04,February,2,Q1,2016,5
2016-02-05,February,2,Q1,2016,5
2016-02-06,February,2,Q1,2016,5
2016-02-07,February,2,Q1,2016,5
2016-02-08,February,2,Q1,2016,6
2016-02-09,February,2,Q1,2016,6
2016-02-10,February,2,Q1,2016,6
2016-02-11,February,2,Q1,2016,6
2016-02-12,February,2,Q1,2016,6
2016-02-13,February,2,Q1,2016,6
2016-02-14,February,2,Q1,2016,6
2016-02-15,February,2,Q1,2016,7
2016-02-16,February,2,Q1,2016,7
2016-02-17,February,2,Q1,2016,7
2016-02-18,February,2,Q1,2016,7
2016-02-19,February,2,Q1,2016,7
2016-02-20,February,2,Q1,2016,7
2016-02-21,February,2,Q1,2016,7
2016-02-22,February,2,Q1,2016,8
2016-02-23,February,2,Q1,2016,8
2016-02-24,February,2,Q1,2016,8
2016-02-25,February,2,Q1,2016,8
2016-02-26,February,2,Q1,2016,8
2016-02-27,February,2,Q1,2016,8
2016-02-28,February,2,Q1,2016,8
2016-02-29,February,2,Q1,2016,9
2016-03-01,March,3,Q1,2016,9
2016-03-02,March,3,Q1,2016,9
2016-03-03,March,3,Q1,2016,9
2016-03-04,March,3,Q1,2016,9
2016-03-05,March,3,Q1,2016,9
2016-03-06,March,3,Q1,2016,9
