Sale Key,City Key,Customer Key,Stock Item Key,Invoice Date Key,Delivery Date Key,Salesperson Key,WWI Invoice ID,Quantity,Unit Price,Tax Rate,Total Excluding Tax,Tax Amount,Profit,Total Including Tax,Total Dry Items,Total Chiller Items
1022,50625,0,178,2017-05-29,2017-06-08,16,394,1,13.0,15,13.0,1.95,8.5,14.95,1,0
2974,43529,0,177,2017-06-09,2017-06-10,15,971,1,13.0,15,13.0,1.95,8.5,14.95,1,0
3661,49849,0,177,2017-06-14,2017-06-16,13,1178,1,13.0,15,13.0,1.95,8.5,14.95,1,0
4155,60696,0,194,2017-06-17,2017-06-19,14,1326,1,13.0,15,13.0,1.95,8.5,14.95,1,0
4488,74559,0,185,2017-06-20,2017-06-24,7,1424,1,13.0,15,13.0,1.95,8.5,14.95,1,0
6357,68127,0,203,2017-06-30,2017-07-10,8,1965,1,13.0,15,13.0,1.95,8.5,14.95,1,0
7144,56111,0,187,2017-07-06,2017-07-08,6,2201,1,13.0,15,13.0,1.95,8.5,14.95,1,0
7290,67746,0,195,2017-07-07,2017-07-08,8,2251,1,13.0,15,13.0,1.95,8.5,14.95,1,0
13045,60508,0,186,2017-08-13,2017-08-15,14,4000,1,13.0,15,13.0,1.95,8.5,14.95,1,0
14030,61710,0,192,2017-08-19,2017-08-21,8,4301,1,13.0,15,13.0,1.95,8.5,14.95,1,0
14845,49849,0,195,2017-08-25,2017-08-29,13,4559,1,13.0,15,13.0,1.95,8.5,14.95,1,0
16089,54379,0,171,2017-09-01,2017-09-04,8,4948,1,13.0,15,13.0,1.95,8.5,14.95,1,0
17218,64685,0,168,2017-09-08,2017-09-11,8,5301,1,13.0,15,13.0,1.95,8.5,14.95,1,0
18189,47471,0,185,2017-09-13,2017-09-15,7,5603,1,13.0,15,13.0,1.95,8.5,14.95,1,0
18895,69283,0,179,2017-09-17,2017-09-20,6,5823,1,13.0,15,13.0,1.95,8.5,14.95,1,0
21412,40971,0,196,2017-10-02,2017-10-05,3,6594,1,13.0,15,13.0,1.95,8.5,14.95,1,0
21661,47471,0,191,2017-10-05,2017-10-06,7,6666,1,13.0,15,13.0,1.95,8.5,14.95,1,0
22762,47134,0,202,2017-10-10,2017-10-14,3,7010,1,13.0,15,13.0,1.95,8.5,14.95,1,0
24913,72576,0,193,2017-10-22,2017-10-27,13,7671,1,13.0,15,13.0,1.95,8.5,14.95,1,0
25716,55744,0,199,2017-10-26,2017-10-31,16,7919,1,13.0,15,13.0,1.95,8.5,14.95,1,0
26861,59422,0,187,2017-11-01,2017-11-02,13,8274,1,13.0,15,13.0,1.95,8.5,14.95,1,0
27663,57851,0,199,2017-11-05,2017-11-08,6,8529,1,13.0,15,13.0,1.95,8.5,14.95,1,0
29333,74376,0,188,2017-11-16,2017-11-18,15,9031,1,13.0,15,13.0,1.95,8.5,14.95,1,0
32998,48763,0,197,2017-12-05,2017-12-07,3,10172,1,13.0,15,13.0,1.95,8.5,14.95,1,0
35252,62350,0,191,2017-12-17,2017-12-18,8,10875,1,13.0,15,13.0,1.95,8.5,14.95,1,0
35764,64414,0,183,2017-12-21,2017-12-22,6,11033,1,13.0,15,13.0,1.95,8.5,14.95,1,0
38429,90443,0,189,2018-01-05,2018-01-07,6,11864,1,13.0,15,13.0,1.95,8.5,14.95,1,0
38688,70334,0,195,2018-01-06,2018-01-08,8,11946,1,13.0,15,13.0,1.95,8.5,14.95,1,0
39437,77092,0,201,2018-01-12,2018-01-13,3,12182,1,13.0,15,13.0,1.95,8.5,14.95,1,0
40700,82793,0,173,2018-01-20,2018-01-21,8,12576,1,13.0,15,13.0,1.95,8.5,14.95,1,0
40923,82633,0,198,2018-01-21,2018-01-23,15,12644,1,13.0,15,13.0,1.95,8.5,14.95,1,0
45379,41165,0,176,2018-02-16,2018-02-17,16,14009,1,13.0,15,13.0,1.95,8.5,14.95,1,0
46518,81483,0,199,2018-02-24,2018-02-25,16,14351,1,13.0,15,13.0,1.95,8.5,14.95,1,0
