Stock Item Key,Stock Item,Color,Selling Package,Buying Package,Brand,Size,Is Chiller Stock,Unit Price
83,Animal with big feet slippers (Brown) XL,,Each,Each,,XL,False,32.0
84,Animal with big feet slippers (Brown) L,,Each,Each,,L,False,32.0
85,Animal with big feet slippers (Brown) M,,Each,Each,,M,False,32.0
86,Animal with big feet slippers (Brown) S,,Each,Each,,S,False,32.0
95,Ogre battery-powered slippers (Green) XL,,Each,Each,,XL,False,32.0
96,Ogre battery-powered slippers (Green) L,,Each,Each,,L,False,32.0
97,Ogre battery-powered slippers (Green) M,,Each,Each,,M,False,32.0
98,Ogre battery-powered slippers (Green) S,,Each,Each,,S,False,32.0
99,Dinosaur battery-powered slippers (Green) XL,,Each,Each,,XL,False,32.0
100,Dinosaur battery-powered slippers (Green) L,,Each,Each,,L,False,32.0
101,Dinosaur battery-powered slippers (Green) M,,Each,Each,,M,False,32.0
102,Dinosaur battery-powered slippers (Green) S,,Each,Each,,S,False,32.0
206,USB food flash drive - fortune cookie,,Each,Each,,,False,32.0
207,USB food flash drive - shrimp cocktail,,Each,Each,,,False,32.0
208,USB food flash drive - donut,,Each,Each,,,False,32.0
209,USB food flash drive - cookie,,Each,Each,,,False,32.0
210,USB food flash drive - chocolate bar,,Each,Each,,,False,32.0
211,USB food flash drive - banana,,Each,Each,,,False,32.0
213,USB food flash drive - pizza slice,,Each,Each,,,False,32.0
214,USB food flash drive - hot dog,,Each,Each,,,False,32.0
215,USB food flash drive - hamburger,,Each,Each,,,False,32.0
216,USB food flash drive - sushi roll,,Each,Each,,,False,32.0
238,USB food flash drive - fortune cookie,,Each,Each,,,False,32.0
239,USB food flash drive - shrimp cocktail,,Each,Each,,,False,32.0
240,USB food flash drive - donut,,Each,Each,,,False,32.0
241,USB food flash drive - cookie,,Each,Each,,,False,32.0
242,USB food flash drive - chocolate bar,,Each,Each,,,False,32.0
243,USB food flash drive - banana,,Each,Each,,,False,32.0
245,USB food flash drive - pizza slice,,Each,Each,,,False,32.0
246,USB food flash drive - hot dog,,Each,Each,,,False,32.0
247,USB food flash drive - hamburger,,Each,Each,,,False,32.0
